plazoOperacion,montoCuotaOperacion,ingresosCliente,montoOperacion,gastosCliente,valorVehiculo,numeroCuotasInicioOperacion,edadCliente,codigoProvinciaCliente_10,codigoProvinciaCliente_9,codigoProvinciaCliente_otro,marcaVehiculo_Chery,marcaVehiculo_Chevrolet,marcaVehiculo_DFSK,marcaVehiculo_Hyundai,marcaVehiculo_otro,tipoResidenciaCliente_A,tipoResidenciaCliente_F,tipoResidenciaCliente_otro,claseVehiculo_Camion,codigoNivelEstudiosCliente_P,Es_Bueno
1491,440.695,3200.0,11729.47,435.03,15536.0,48,31,0,0,1,0,1,0,0,0,0,1,0,0,0,NO
103,618.08,8500.0,11369.08,2200.0,11500.0,24,62,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
510,370.06,2690.0,11958.8,931.0,17990.0,60,52,1,0,0,0,0,0,1,0,1,0,0,0,0,SI
770,733.22,2750.0,19926.8,1200.0,28990.0,48,59,0,0,1,0,0,0,1,0,1,0,0,1,0,SI
365,467.88,700.0,11229.54,475.79944868128257,15560.46,60,51,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
193,398.5,2512.423058468384,10057.57,430.95,18299.0,59,47,0,0,1,0,0,1,0,0,1,0,0,0,0,SI
738,669.17,2000.0,19924.08,831.868553503788,32990.0,60,66,0,0,1,0,0,0,1,0,1,0,0,0,1,SI
1827,352.055,2512.423058468384,10548.4,1768.6,13590.0,60,49,0,1,0,0,0,0,1,0,0,1,0,0,0,NO
452,970.31,2500.0,16662.6,200.0,31237.0,24,70,1,0,0,0,0,0,0,1,0,0,1,0,1,SI
359,374.42,9000.0,10282.63,4000.0,15410.0,48,59,1,0,0,0,0,0,1,0,0,0,1,0,0,SI
1473,516.385,800.0,14059.84,432.44,20689.75,48,38,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
195,1375.09,13100.0,32714.38,5500.0,46400.0,36,34,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
1527,392.225,1785.0,13150.91,247.73,15990.0,59,35,0,0,1,0,0,0,0,1,1,0,0,0,1,NO
1829,391.12,1750.0,13571.14,618.53,16490.0,60,56,0,1,0,0,1,0,0,0,0,1,0,0,1,NO
1461,306.15,1600.0,7445.02,475.79944868128257,14790.0,48,53,0,0,1,0,0,0,0,1,0,1,0,0,0,NO
360,1554.58,50600.0,41425.6,46700.0,71000.0,48,51,1,0,0,0,0,0,0,1,0,0,1,0,0,SI
1492,629.12,1664.87,17592.73,847.99,23697.84,48,38,0,0,1,0,0,0,1,0,0,1,0,0,0,NO
984,362.96,1265.0,11182.99,150.0,16954.0,59,37,0,0,1,0,1,0,0,0,0,0,1,0,0,SI
1010,404.24,720.21,12981.68,282.81,16682.0,59,41,0,0,1,0,1,0,0,0,1,0,0,0,0,SI
1833,782.535,3200.0,22723.59,831.868553503788,30297.99,60,30,0,0,1,0,1,0,0,0,0,1,0,0,0,NO
1597,607.88,2920.0,18527.04,831.868553503788,27976.63,60,42,0,0,1,0,1,0,0,0,0,1,0,1,0,SI
1846,406.855,2512.423058468384,11596.4,475.79944868128257,17290.0,60,36,0,1,0,0,1,0,0,0,0,0,1,0,0,NO
852,396.86,1275.0,12858.8,475.79944868128257,19990.0,59,35,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1829,371.785,2512.423058468384,12306.22,793.27,15955.51,60,59,0,1,0,0,1,0,0,0,0,1,0,0,0,SI
1491,41.265,3502.073231534092,14427.02,3.01,23990.0,48,40,0,1,0,1,0,0,0,0,0,1,0,0,0,NO
1492,593.65,20000.0,14651.92,831.868553503788,23990.0,48,44,0,0,1,0,0,0,0,1,0,1,0,1,1,NO
1855,366.86,2720.0,12202.8,400.0,14790.0,60,67,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
311,543.74,2318.0,16231.8,100.0,22490.0,60,40,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1473,479.4,2000.0,14623.6,300.0,19710.2,59,33,0,0,1,0,0,0,1,0,0,1,0,0,0,SI
1125,561.04,2500.0,14919.8,600.0,20690.0,48,62,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1117,569.12,2300.0,12599.69,550.0,20472.5,36,50,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
1825,821.97,4100.0,26404.41,2386.6,36289.66,60,48,0,0,1,0,1,0,0,0,0,0,1,1,0,NO
1878,552.35,3502.073231534092,18429.04,957.57,27990.0,61,56,0,0,1,0,0,0,0,1,0,1,0,0,1,NO
1127,471.91,1500.0,9828.92,500.0,14999.0,36,77,0,0,1,0,1,0,0,0,0,1,0,0,1,NO
1829,335.295,2512.423058468384,10819.44,475.79944868128257,17107.04,60,53,0,0,1,0,1,0,0,0,0,0,1,0,1,NO
1257,665.07,3502.073231534092,20515.6,6.25,28990.0,59,49,0,0,1,0,0,0,0,1,0,1,0,0,1,SI
1468,180.745,2512.423058468384,11448.4,698.04,14790.0,48,53,0,0,1,0,0,0,0,1,0,1,0,0,0,NO
1845,327.37,1200.0,10628.74,1705.17,14790.0,60,38,0,0,1,0,0,0,0,1,1,0,0,0,0,NO
1493,753.965,2500.0,18717.81,831.868553503788,24590.0,48,36,0,0,1,0,1,0,0,0,0,1,0,0,0,NO
1839,414.58,2512.423058468384,13569.4,475.79944868128257,17615.0,60,66,0,1,0,0,1,0,0,0,0,1,0,0,0,NO
1504,1110.775,6000.0,23087.6,831.868553503788,30107.6,48,43,0,0,1,0,0,0,1,0,0,1,0,0,0,NO
1134,609.28,5000.0,11926.92,500.0,19690.0,36,70,0,0,1,0,1,0,0,0,0,0,1,0,1,NO
1861,424.79,2512.423058468384,14656.19,571.15,17615.0,61,40,0,0,1,0,1,0,0,0,0,1,0,0,1,NO
1844,466.93,800.0,14532.14,200.31,20133.0,60,36,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
1835,665.72,14000.0,21415.6,3500.0,27990.0,60,54,0,0,1,0,0,0,0,1,1,0,0,0,0,NO
763,573.05,1300.0,12711.34,175.05,17840.0,36,29,0,0,1,0,1,0,0,0,0,1,0,0,1,SI
1478,379.575,1230.0,10134.4,475.79944868128257,14776.0,48,33,0,0,1,0,0,0,0,1,0,1,0,0,0,SI
1485,410.39,3000.0,10332.56,700.0,16790.0,48,29,0,0,1,0,1,0,0,0,0,0,1,0,1,NO
708,445.38,2880.0,12958.8,475.79944868128257,17990.0,48,51,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1502,698.1,1668.0,18923.71,169.9,31989.44,48,38,0,0,1,0,1,0,0,0,1,0,0,0,0,NO
1827,467.79,1850.0,14926.8,831.868553503788,24490.0,60,54,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1461,1749.39,8000.0,15836.8,2910.0,22000.0,16,36,1,0,0,0,1,0,0,0,0,0,1,0,0,NO
1461,837.635,1500.0,23269.73,200.0,38044.0,48,28,0,0,1,0,1,0,0,0,0,1,0,1,0,NO
1461,588.38,6000.0,15830.24,650.0,22432.4,48,33,1,0,0,0,0,0,0,1,0,0,1,1,1,NO
